Location,Cross_Street,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Modus_Operandi,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Premise_Description,Weapon_Used_Code,Weapon_Description,Status,Status_Description,Crime_Category
3800    HARRIMAN                     AV,,34.0881,-118.1877,2/14/2020 0:00,2/14/2020 0:00,515,4,Hollenbeck,407,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
14800    HUSTON                       ST,,34.1594,-118.4552,5/12/2020 0:00,5/9/2020 0:00,1000,9,Van Nuys,963,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
400 W  PACIFIC COAST                HY,,33.7948,-118.2694,12/20/2020 0:00,12/20/2020 0:00,1,5,Harbor,515,1,0216 0302 0312 0430 0432 1100 1309 1402 0202 1822,24,M,B,108,PARKING LOT,101,REVOLVER,AA,Adult Arrest,Violent Crimes
7TH,SAN PEDRO,34.0407,-118.2468,5/18/2020 0:00,5/18/2020 0:00,2035,13,Newton,1307,2,1218 0913 0444 0429 0416,48,M,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
4TH                          ST,SHATTO                       PL,34.067,-118.2899,8/10/2020 0:00,8/10/2020 0:00,2200,20,Olympic,2029,1,1822 0342 0334 1206,28,M,H,109,PARK/PLAYGROUND,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,Property Crimes
2500 S  FIGUEROA                     ST,,34.0289,-118.2756,8/12/2020 0:00,8/12/2020 0:00,1500,3,Southwest,319,1,1822 0344 0359 0337 1309,19,X,X,248,CELL PHONE STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Property Crimes
5000 W  21ST                         ST,,34.0385,-118.3485,7/31/2020 0:00,7/31/2020 0:00,5,7,Wilshire,784,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
13300    HATTERAS                     ST,,34.1758,-118.4225,1/10/2020 0:00,1/2/2020 0:00,1,9,Van Nuys,938,2,0930 1822,31,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Fraud and White-Collar Crimes
1700 S  MAIN                         ST,,33.9874,-118.4706,11/7/2020 0:00,11/7/2020 0:00,30,14,Pacific,1431,1,1501,63,M,W,418,,,,IC,Invest Cont,Property Crimes
1600    WARNALL                      AV,,34.0611,-118.4224,10/22/2020 0:00,10/21/2020 0:00,1700,8,West LA,829,1,0385 0344 1822,56,M,W,101,STREET,,,IC,Invest Cont,Property Crimes
3200 W  PICO                         BL,,34.0506,-118.3127,7/14/2020 0:00,7/13/2020 0:00,1913,20,Olympic,2062,1,1822 0337 0432 0202 0334 0312,0,X,X,202,LIQUOR STORE,102,HAND GUN,IC,Invest Cont,Property Crimes
19500    INGOMAR                      ST,,34.212,-118.5579,2/1/2020 0:00,2/1/2020 0:00,800,10,West Valley,1001,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
1400 N  FORMOSA                      AV,,34.0962,-118.3462,10/10/2020 0:00,10/10/2020 0:00,1845,6,Hollywood,644,1,1822 0344,39,F,W,102,SIDEWALK,,,IC,Invest Cont,Property Crimes
800 N  ALAMEDA                      ST,,34.0615,-118.2412,6/16/2020 0:00,6/16/2020 0:00,1925,1,Central,111,1,2032 0344 0910 1822,29,F,B,834,LA UNION STATION (NOT LINE SPECIFIC),,,IC,Invest Cont,Property Crimes
00    WORLD WAY,,33.9454,-118.3998,2/12/2020 0:00,2/12/2020 0:00,100,14,Pacific,1494,1,0344 2032,28,F,B,212,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,Property Crimes
VERMONT                      AV,77TH                         ST,33.9698,-118.2914,6/24/2020 0:00,6/24/2020 0:00,130,12,77th Street,1257,1,1822 0416 0445,45,M,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,Violent Crimes
11300    VICTORY                      BL,,34.1867,-118.3773,7/30/2020 0:00,7/30/2020 0:00,2205,15,N Hollywood,1527,1,0444 0945 1822 0325 0378 0906 0371 0344,0,M,O,403,DRUG STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Property Crimes
1900 W  6TH                          ST,,34.0585,-118.2725,2/8/2020 0:00,2/8/2020 0:00,246,2,Rampart,256,2,329,0,X,X,210,RESTAURANT/FAST FOOD,212,BOTTLE,IC,Invest Cont,Property Crimes
400 N  CONCORD                      ST,,34.041,-118.1947,12/16/2020 0:00,11/29/2020 0:00,1540,4,Hollenbeck,459,1,344,19,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
200 W  67TH                         ST,,33.979,-118.2739,11/7/2020 0:00,11/7/2020 0:00,210,13,Newton,1393,1,0344 0400 1300 1822,21,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Property Crimes
CROCKER                      ST,3RD                          ST,34.0464,-118.2402,2/18/2020 0:00,2/18/2020 0:00,940,1,Central,138,2,2004,33,F,H,102,SIDEWALK,,,IC,Invest Cont,Crimes against Public Order
12700    VENTURA                      BL,,34.1447,-118.4095,5/13/2020 0:00,5/12/2020 0:00,1700,15,N Hollywood,1591,1,0325 1607 0344 1414,0,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
400 N  WESTLAKE                     AV,,34.0698,-118.2665,9/29/2020 0:00,9/11/2020 0:00,1553,2,Rampart,217,1,0344 0394 1822,24,F,H,145,MAIL BOX,,,IC,Invest Cont,Property Crimes
1200 W  8TH                          ST,,34.0496,-118.2677,8/15/2020 0:00,8/14/2020 0:00,2300,2,Rampart,269,1,0358 1609 1307 0329 0344 0352,34,M,O,101,STREET,,,IC,Invest Cont,Property Crimes
7000    COLDWATER CANYON             AV,,34.1936,-118.4166,7/15/2020 0:00,7/11/2020 0:00,2000,15,N Hollywood,1522,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
6800    YARMOUTH                     AV,,34.1939,-118.5197,7/6/2020 0:00,7/6/2020 0:00,5,10,West Valley,1025,1,1822 1606 0321,40,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
1000 S  HILL                         ST,,34.0402,-118.2598,11/2/2020 0:00,11/2/2020 0:00,20,1,Central,185,1,1822 1607 0344,0,X,X,710,OTHER PREMISE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Property Crimes
400 W  88TH                         PL,,33.9568,-118.2804,3/10/2020 0:00,3/6/2020 0:00,1440,18,Southeast,1802,2,1822 0329 0603,31,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
20800    CHASE                        ST,,34.2246,-118.5885,10/25/2020 0:00,10/24/2020 0:00,1130,17,Devonshire,1791,2,1251 1609 0329,26,M,O,101,STREET,,,IC,Invest Cont,Property Crimes
4100 E  ABNER                        ST,,34.0657,-118.1927,1/7/2020 0:00,1/7/2020 0:00,345,4,Hollenbeck,437,1,0913 1415 0443 0503 0516 0302 0400 2000 1814 1243,23,F,H,108,PARKING LOT,102,HAND GUN,AO,Adult Other,Violent Crimes
7900    WILLIS                       AV,,34.2184,-118.4547,10/26/2022 0:00,3/26/2020 0:00,2125,19,Mission,1994,2,928,38,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Fraud and White-Collar Crimes
BEVERLY                      BL,LA CIENEGA,34.0761,-118.3766,7/21/2020 0:00,7/21/2020 0:00,1600,7,Wilshire,711,2,0421 0369,55,M,H,203,OTHER BUSINESS,511,VERBAL THREAT,IC,Invest Cont,Crimes against Public Order
14500    SHERMAN                      WY,,34.2012,-118.4497,7/30/2020 0:00,7/22/2020 0:00,2105,9,Van Nuys,914,1,0344 1822,26,M,H,101,STREET,,,IC,Invest Cont,Property Crimes
4400    AVALON                       BL,,34.0034,-118.2653,8/31/2020 0:00,8/30/2020 0:00,2300,13,Newton,1353,1,0344 0342 0449 0448 0444 0327 1822,52,M,H,102,SIDEWALK,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,Property Crimes
200 S  MAIN                         ST,,33.9974,-118.479,10/4/2020 0:00,10/4/2020 0:00,730,14,Pacific,1412,2,329,0,X,X,710,OTHER PREMISE,,,IC,Invest Cont,Property Crimes
76TH                         ST,GRAND                        AV,33.9708,-118.2803,7/2/2020 0:00,7/1/2020 0:00,2100,12,77th Street,1257,1,0344 0330 0916,27,M,H,101,STREET,311,HAMMER,IC,Invest Cont,Property Crimes
100 W  82ND                         ST,,33.9651,-118.2739,1/18/2024 0:00,6/18/2020 0:00,1510,12,77th Street,1268,2,0100 0930 0929,37,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Fraud and White-Collar Crimes
13200    SATICOY                      ST,,34.2078,-118.4204,10/2/2020 0:00,10/2/2020 0:00,1830,15,N Hollywood,1501,1,,0,,,108,PARKING LOT,,,IC,Invest Cont,Property Crimes
1200 N  BEACHWOOD                    DR,,34.0926,-118.3212,11/7/2020 0:00,11/6/2020 0:00,2100,6,Hollywood,667,1,1822 1300 1501,43,M,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,Property Crimes
4TH                          ST,MARIPOSA,34.0672,-118.2992,9/12/2020 0:00,9/12/2020 0:00,1550,20,Olympic,2025,2,1822 0443 0432 0345,26,X,X,101,STREET,511,VERBAL THREAT,IC,Invest Cont,Crimes against Public Order
600 S  BERENDO                      ST,,34.0608,-118.2941,11/24/2020 0:00,11/23/2020 0:00,100,20,Olympic,2036,1,1822 0344,24,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,Property Crimes
2000 E  3RD                          ST,,34.0437,-118.2161,1/19/2020 0:00,1/19/2020 0:00,300,4,Hollenbeck,463,2,2000 0913 1814 1243 0400 0416,32,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Violent Crimes
1400 W  GAGE                         AV,,33.9824,-118.3006,12/6/2020 0:00,12/6/2020 0:00,2130,12,77th Street,1245,1,0344 1822,55,F,H,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,Property Crimes
100 N  PACIFIC                      AV,,33.7412,-118.2924,5/25/2020 0:00,5/25/2020 0:00,1925,5,Harbor,557,2,0329 1402,30,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,Property Crimes
1000 S  HOBART                       BL,,34.0518,-118.3052,8/2/2020 0:00,8/2/2020 0:00,1230,20,Olympic,2053,1,1402 0326 0342 0344 0346 0416 0446 1300 1309 1822,59,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Property Crimes
1500 W  SEPULVEDA                    BL,,33.8153,-118.3038,8/31/2020 0:00,8/17/2020 0:00,700,5,Harbor,507,2,329,0,X,X,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,Property Crimes
1200 S  BOYLE                        AV,,34.0286,-118.2206,2/13/2020 0:00,2/12/2020 0:00,2300,4,Hollenbeck,491,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
2700    CEILHUNT                     AV,,34.0273,-118.4379,2/28/2020 0:00,2/28/2020 0:00,1500,14,Pacific,1402,1,1606 0344,42,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
4000    NICOLET                      AV,,34.0171,-118.3531,10/25/2020 0:00,10/25/2020 0:00,1730,3,Southwest,361,2,1251 1258 0400 0913 1810,7,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Crimes against Persons
7200    AMIGO                        AV,,34.2012,-118.5386,8/14/2020 0:00,8/14/2020 0:00,1115,10,West Valley,1012,2,1601 1307 1402 1300 0329 1420 1822 1609,0,M,O,501,SINGLE FAMILY DWELLING,215,MACHETE,AA,Adult Arrest,Property Crimes
9400 S  MAIN                         ST,,33.9507,-118.2739,12/13/2020 0:00,12/13/2020 0:00,20,18,Southeast,1822,2,1822 2002 0416 0429,57,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
15600    OLDEN                        ST,,34.3195,-118.4716,1/29/2020 0:00,1/29/2020 0:00,1,19,Mission,1912,2,1402 0329 1307,72,M,H,108,PARKING LOT,,,AA,Adult Arrest,Property Crimes
600 S  MAIN                         ST,,34.0453,-118.2499,6/21/2020 0:00,6/21/2020 0:00,400,1,Central,164,2,0416 2000 0913 1814,26,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
3200 W  FLORENCE                     AV,,33.9746,-118.3281,10/21/2020 0:00,10/17/2020 0:00,1800,12,77th Street,1251,2,1822 0446,72,M,B,505,MOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
600 S  ALVARADO                     ST,,34.0593,-118.275,8/10/2020 0:00,8/10/2020 0:00,1500,2,Rampart,246,2,0100 1822 0917,42,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Fraud and White-Collar Crimes
20800 W  VENTURA                      BL,,34.1664,-118.5863,8/4/2020 0:00,8/4/2020 0:00,1330,21,Topanga,2189,1,0325 2028,35,M,X,404,DEPARTMENT STORE,,,AA,Adult Arrest,Property Crimes
1000    MONTECITO                    DR,,34.0874,-118.2023,1/28/2020 0:00,1/28/2020 0:00,1200,4,Hollenbeck,402,2,0444 0429 0416 0913,49,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
13500    BARBARA ANN                  ST,,34.2001,-118.427,12/31/2020 0:00,12/30/2020 0:00,55,9,Van Nuys,919,1,1607 0358 1420 1414,38,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Property Crimes
13800    SHERMAN                      WY,,34.205,-118.4339,8/16/2020 0:00,8/14/2020 0:00,1030,9,Van Nuys,909,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
700 E  MARTIN LUTHER KING JR        BL,,34.0111,-118.2633,6/21/2020 0:00,6/21/2020 0:00,1550,13,Newton,1343,2,0416 0419 0913,19,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
19800    RINALDI                      ST,,34.2749,-118.5661,12/23/2020 0:00,12/22/2020 0:00,2030,17,Devonshire,1701,1,0344 2032 0930,33,F,H,404,DEPARTMENT STORE,,,IC,Invest Cont,Property Crimes
3500 W  SLAUSON                      AV,,33.989,-118.333,5/27/2020 0:00,5/27/2020 0:00,1300,12,77th Street,1232,1,0329 0913 1609,25,F,B,501,SINGLE FAMILY DWELLING,512,MACE/PEPPER SPRAY,AO,Adult Other,Violent Crimes
7300 S  SAN PEDRO                    ST,,33.9739,-118.2695,5/29/2020 0:00,5/29/2020 0:00,1430,12,77th Street,1259,1,0342 1309 1822 0326,32,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,HAND GUN,IC,Invest Cont,Crimes against Public Order
800 S  OLIVE                        ST,,34.0437,-118.2582,6/26/2020 0:00,5/20/2020 0:00,900,1,Central,162,1,1307 0329 0386 0321 0344 1822 1609 1414,39,F,W,108,PARKING LOT,,,IC,Invest Cont,Property Crimes
1200    MAPLE                        AV,,34.0352,-118.2567,9/19/2020 0:00,9/19/2020 0:00,1330,13,Newton,1303,2,416,59,F,A,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
4000 W  28TH                         ST,,34.0315,-118.3292,2/11/2020 0:00,2/9/2020 0:00,1300,3,Southwest,313,2,0342 0416 0446 0447 0913,54,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
3400 W  2ND                          ST,,34.0704,-118.2898,4/9/2020 0:00,4/9/2020 0:00,1300,20,Olympic,2019,2,2000 0416 0446 0913,20,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
10200    SANTA MONICA                 BL,,34.06,-118.42,7/24/2020 0:00,7/24/2020 0:00,1513,8,West LA,839,1,0104 0344 1420 1822 0325,0,X,X,404,DEPARTMENT STORE,,,AA,Adult Arrest,Property Crimes
8400 S  SAN PEDRO                    ST,,33.9624,-118.2695,10/6/2020 0:00,10/6/2020 0:00,1910,12,77th Street,1269,1,0207 0216 0302 0312 0334 0337 0344 0429 0444 1822,58,M,H,203,OTHER BUSINESS,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,Property Crimes
12000    FOOTHILL                     BL,,34.2754,-118.3904,4/2/2020 0:00,4/2/2020 0:00,1850,16,Foothill,1615,2,1822 0416 1601 0446,35,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
6500    WHITWORTH                    DR,,34.0571,-118.3724,2/10/2020 0:00,2/10/2020 0:00,1130,7,Wilshire,752,1,1609 1822 1307,54,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
11900    HART                         ST,,34.1976,-118.3921,3/20/2020 0:00,3/20/2020 0:00,2030,15,N Hollywood,1514,2,0429 0444 1813 2000,27,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
8700    PERSHING                     DR,,33.9547,-118.4413,1/23/2020 0:00,1/17/2020 0:00,2130,14,Pacific,1483,1,0344 1300,36,M,B,707,GARAGE/CARPORT,,,IC,Invest Cont,Property Crimes
700 N  OXFORD                       AV,,34.0835,-118.3077,10/3/2020 0:00,10/3/2020 0:00,1045,6,Hollywood,678,1,0334 1822 2021 1300 1309,48,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,Crimes against Public Order
3900    GIBRALTAR                    AV,,34.0161,-118.3546,12/17/2020 0:00,12/17/2020 0:00,1215,3,Southwest,361,2,0913 2000 1814 2038,28,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Crimes against Public Order
DE SOTO                      AV,ROSCOE                       BL,34.2199,-118.5885,10/28/2020 0:00,10/28/2020 0:00,1000,21,Topanga,2107,2,2004 0416 0429 2021 1402,76,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Violent Crimes
16400    SHAMHART                     DR,,34.2869,-118.4893,2/5/2020 0:00,2/2/2020 0:00,100,17,Devonshire,1708,1,0344 1818 2021 0352 1202 0913,73,M,W,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,Property Crimes
1500    VENICE                       BL,,33.9945,-118.452,9/13/2020 0:00,9/13/2020 0:00,2200,14,Pacific,1433,2,0903 0447 0432,63,M,B,202,LIQUOR STORE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,Violent Crimes
LAUREL CANYON                BL,OSBORNE                      ST,34.2469,-118.4195,8/17/2020 0:00,8/14/2020 0:00,915,16,Foothill,1651,1,0321 0344 1300,37,M,H,301,GAS STATION,,,IC,Invest Cont,Property Crimes
17800    HORACE                       ST,,34.2697,-118.5235,12/23/2020 0:00,12/21/2020 0:00,1000,17,Devonshire,1735,1,0344 0394,41,M,F,504,OTHER RESIDENCE,,,IC,Invest Cont,Property Crimes
5400 S  VERMONT                      AV,,33.9921,-118.298,2/20/2020 0:00,2/20/2020 0:00,930,12,77th Street,1215,2,0400 2004,47,F,H,222,LAUNDROMAT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
9900    WESTWANDA                    DR,,34.1083,-118.4361,12/16/2020 0:00,12/14/2020 0:00,1845,8,West LA,807,1,,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,Property Crimes
18400    HATTERAS                     ST,,34.1775,-118.5337,12/1/2020 0:00,12/1/2020 0:00,700,10,West Valley,1044,1,,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,Property Crimes
8100    SUNLAND                      BL,,34.2174,-118.3703,5/5/2020 0:00,5/3/2020 0:00,2100,16,Foothill,1687,2,0913 0416 1601 0446 0444 0429,34,F,W,710,OTHER PREMISE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
9500    VAN NUYS                     BL,,34.2427,-118.4502,10/10/2020 0:00,10/9/2020 0:00,2100,19,Mission,1963,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
13000    KAMLOOPS                     ST,,34.2527,-118.4151,10/9/2020 0:00,10/8/2020 0:00,2200,16,Foothill,1653,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
10800    TOPEKA                       DR,,34.2669,-118.5454,2/23/2020 0:00,2/23/2020 0:00,1430,17,Devonshire,1727,2,0416 0913 2000 1821 2021,59,F,W,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,Violent Crimes
8100    MANITOBA                     ST,,33.9563,-118.4356,1/13/2020 0:00,1/12/2020 0:00,2000,14,Pacific,1483,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
5500    GEER                         ST,,34.0301,-118.3636,7/7/2023 0:00,1/1/2020 0:00,1200,3,Southwest,311,2,,5,F,H,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,Crimes against Persons
600 E  99TH                         ST,,33.9468,-118.2652,7/11/2020 0:00,7/10/2020 0:00,1140,18,Southeast,1824,2,0100 0930 1822,45,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Fraud and White-Collar Crimes
400 E  52ND                         ST,,33.9981,-118.2697,7/26/2020 0:00,7/26/2020 0:00,1000,13,Newton,1362,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
4700    CRYSTAL SPRINGS              DR,,34.1516,-118.2859,5/23/2020 0:00,5/23/2020 0:00,635,11,Northeast,1101,1,0344 1307,0,,,108,PARKING LOT,,,IC,Invest Cont,Property Crimes
1400    BRETT                        PL,,33.7553,-118.3056,12/9/2020 0:00,12/9/2020 0:00,1807,5,Harbor,541,1,0800 1900 0701 0344,21,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
600 W  CENTURY                      BL,,33.9455,-118.2848,2/5/2020 0:00,2/5/2020 0:00,1900,18,Southeast,1821,1,1309 0342 0326 0325,20,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
7500    BECKFORD                     AV,,34.2066,-118.5514,2/8/2020 0:00,2/8/2020 0:00,900,10,West Valley,1011,1,0342 0416 0417 1822,38,M,H,101,STREET,304,CLUB/BAT,IC,Invest Cont,Violent Crimes
1400 E  100TH                        ST,,33.9461,-118.2467,11/20/2020 0:00,11/19/2020 0:00,800,18,Southeast,1826,1,344,25,F,H,101,STREET,,,IC,Invest Cont,Property Crimes
12000    LAUREL                       LN,,34.1386,-118.3935,8/19/2020 0:00,8/17/2020 0:00,1700,15,N Hollywood,1595,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
800 E  118TH                        ST,,33.9266,-118.2604,7/12/2020 0:00,7/12/2020 0:00,1725,18,Southeast,1864,1,0913 2000 0408 0411 0416 0319 0400 1813 1243 0448,51,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
5800    CARLTON                      WY,,34.1005,-118.3166,2/10/2020 0:00,2/9/2020 0:00,2350,6,Hollywood,647,2,0400 0416 2002 0554,24,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
11300    SANTA MONICA                 BL,,34.0465,-118.4484,3/15/2020 0:00,3/14/2020 0:00,2100,8,West LA,853,2,0416 0447,48,M,W,207,BAR/COCKTAIL/NIGHTCLUB,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,Violent Crimes
14200    DELANO                       ST,,34.1827,-118.4422,12/29/2021 0:00,12/1/2020 0:00,1200,9,Van Nuys,935,2,1202 1251 1822 0329,63,F,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,Property Crimes
3500    DOVER                        ST,,34.1212,-118.2672,12/11/2020 0:00,12/11/2020 0:00,1415,11,Northeast,1123,1,0321 0344 0352 0216 0206,41,M,W,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,Property Crimes
11300    DONA PEGITA                  DR,,34.1299,-118.377,12/10/2020 0:00,12/10/2020 0:00,230,15,N Hollywood,1596,1,1300 0344 0216 1309,25,M,W,101,STREET,,,IC,Invest Cont,Property Crimes
11300    COMETA                       AV,,34.2767,-118.4018,9/6/2020 0:00,9/6/2020 0:00,150,16,Foothill,1613,2,0400 1822,23,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
1800    WHITLEY                      AV,,34.1035,-118.3334,1/11/2021 0:00,12/23/2020 0:00,1934,6,Hollywood,636,1,0344 1822 1501 0394,45,F,H,145,MAIL BOX,,,IC,Invest Cont,Property Crimes
2600 E  WASHINGTON                   BL,,34.0174,-118.2265,10/2/2020 0:00,10/1/2020 0:00,1130,13,Newton,1309,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
3300    GARNET                       ST,,34.0231,-118.2039,12/8/2020 0:00,12/6/2020 0:00,2300,4,Hollenbeck,488,2,1402 0421 2004 0913 0561,55,F,H,101,STREET,511,VERBAL THREAT,AA,Adult Arrest,Crimes against Public Order
ADAMS,CENTRAL                      AV,34.0188,-118.2549,5/16/2020 0:00,5/15/2020 0:00,1820,13,Newton,1323,2,2038,43,M,H,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,Crimes against Public Order
100 W  FLORENCE                     AV,,33.9747,-118.2743,8/13/2020 0:00,8/11/2020 0:00,1,12,77th Street,1258,1,1822 0344,0,X,X,738,LIBRARY,,,IC,Invest Cont,Property Crimes
1000 S  GRAND                        AV,,34.0421,-118.2614,12/4/2020 0:00,12/1/2020 0:00,1400,1,Central,182,1,0397 0344,24,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,Property Crimes
5400    FULTON                       AV,,34.1686,-118.4225,3/8/2020 0:00,3/4/2020 0:00,1200,9,Van Nuys,948,2,0922 1822,59,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Fraud and White-Collar Crimes
21800    SATICOY                      ST,,34.2083,-118.6034,10/1/2020 0:00,10/1/2020 0:00,1041,21,Topanga,2136,2,1912,35,F,O,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,Crimes against Public Order
